Notice Date,Shop,Address,Municipality,Offence,ChargeBy,Charge,LAT,LON
2020-11-27,Cellicon  Vaughan Mills,"1 Bass Pro Mills Dr, Vaughan, ON L4K 5W4",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 27, 2020",$750 + surcharge = $880,43.822002,-79.538191
2020-11-27,Chef 88 Elite Fine Dining,"1661 Denison Street, Markham, ON",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to lack of physical distancing on patio,"November 27, 2020",$750 + surcharge = $880,43.834733,-79.306247
2020-11-27,Designer Depot  Vaughan Mills,"1 Bass Pro Mills Dr, Vaughan, ON L4K 5W4",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 27, 2020",$750 + surcharge = $880,43.822002,-79.538191
2020-11-27,Haight Ashbury  Vaughan Mills,"1 Bass Pro Mills Dr, Vaughan, ON L4K 5W4",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 27, 2020",$750 + surcharge = $880,43.822002,-79.538191
2020-11-27,Vaughan Mills Shopping Centre,"1 Bass Pro Mills Dr, Vaughan, ON L4K 5W4",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 27, 2020",$750 + surcharge = $880 (x 3),43.822002,-79.538191
2020-11-27,Xclusive Fades Aurora,"15233 Yonge St, Aurora, ON",Town of Aurora,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to lack of face coverings,"November 27, 2020",$750 + surcharge = $880,43.999401,-79.467496
2020-11-27,Mazaj Lounge,"118-2620 Rutherford Rd, Vaughan, L4K 0H1",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 19, 2020",,43.834074,-79.519582
2020-11-27,Shijin Hotpot Chicken Restaurant,"B02-8360 Kennedy Rd, Markham ON L3R 9W4",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 20, 2020",,43.858031,-79.303409
2020-11-27,Aji Sai Japanese Food Restaurant,"7-8206 Bayview Ave, Markham ON L3T 2S2",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"Novemebr 20, 2020",,43.832233,-79.404584
2020-11-27,LA Fitness,"9350 Bathurst St, Vaughan ON L6A 9N9",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 20, 2020",,43.849511,-79.459088
2020-11-27,Piggy's,"27-5 Glen Cameron Rd, Markham ON L3T 5W2",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 20, 2020",,43.805773,-79.420115
2020-11-27,Mandala Cafe & Lounge,"10670 Yonge St, Richmond Hill ON L4C 3C9",City of Richmond Hill,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 20, 2020",,43.887537,-79.441024
2020-11-27,Chinese Dumpling House,"89-90 - 505 Highway 7 East, Markham ON L3T 7T1",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 20, 2020",,43.840032,-79.406174
2020-11-27,Space KTV,"1-7634 Woodbine Ave, Markham ON L3R 2N2",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 21, 2020",,43.829068,-79.352635
2020-11-27,Wynn Fitness Club,"6-11160 Yonge St, Richmond Hill ON L4S 1H5",City of Richmond Hill,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 21, 2020",,43.899368,-79.443838
2020-11-27,Costco Wholesale,"55 New Huntington Rd, Vaughan ON L4H 4M9",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 21, 2020",,43.772593,-79.643189
2020-11-27,The Fusion Cuisine,"9-9019 Bayview Ave, Richmond Hill ON L4B 3M6",City of Richmond Hill,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 21, 2020",,43.850869,-79.40932
2020-11-27,McDonald's,"2-420 Highway 7 East, Richmond Hill L4B 3K2",City of Richmond Hill,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 21, 2020",,43.842542,-79.390895
2020-11-27,Blue Ocean Cafe,"A6-A7 - 8392 Kennedy Rd, Makrham L3R 0W4",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 22, 2020",,43.84836,-79.306419
2020-11-27,Chef 88 Elite Fine Dining,"F1-1661 Denison St, Markham ON L3R 6E3",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 22, 2020",,43.834733,-79.306247
2020-11-27,T&T Supermarket,"7070 Warden Ave, Markham ON L3R 5Y2",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 22, 2020",,43.822416,-79.325276
2020-11-27,O Mei Restaurant,"42-420 Highway 7 East, Richmond Hill ON L4B 3K2",City of Richmond Hill,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 22, 2020",,43.842542,-79.390895
2020-11-27,Costco Wholesale,"1 Yorktech Dr, Markham ON L3K 2P1",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 22, 2020",,43.846283,-79.355555
2020-11-27,Skyview Fusion Cuisine,"8-8261 Woodbine Ave, Markham ON L3R 8Z5",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 22, 2020",,43.844013,-79.356602
2020-11-27,Second Cup,"10-60 Main St, Markham ON L3S 1G5",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20,"November 22, 2020",,43.859015,-79.308997
2020-11-27,Avani Event Centre,"1-801 Matheson Boulevard West, Mississauga ON L5V 2N6",City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20; Party to an offence contrary to Provincial Offences Act, Section 77(1)(b)","October 18, 2020","Up to $10,000,000; $5,000",43.60737,-79.691196
2020-11-28,Costco,65 Kirkham Drive,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to lack of physical distancing,"November 28, 2020",$750 + surcharge = $880,43.85186,-79.251823
2020-11-28,Lowe,"200 McNaughton Rd., Vaughan, ON",City of Vaughan,"Fail to comply with Sec. C, Retail Stores, Subsec. 2 of the Class Order pursuant to Sec. 22 (5.0.1) of the HPPA due to lack of actively monitoring compliance with capacity limits at all entrances","November 28, 2020",$750 + surcharge = $880,43.860927,-79.514407
2020-11-28,Mazaj Lounge,"2620 Rutherford Rd., Unit 118, Vaughan, ON",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to lack of having at least two full sides of the entire outdoor dining area open to the outdoors,"November 28, 2020",$750 + surcharge = $880,43.834074,-79.519582
2020-11-28,PHO 72,5995 14th Ave,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to lack of mask wearing by staff,"November 28, 2020",$750 + surcharge = $880,43.854996,-79.25785
2020-11-28,Rocky Mountain Chocolate Factory  Vaughan Mills,"1 Bass Pro Mills Drive, Vaughan, ON L4K 5W4",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to lack of screening individuals  no face covering signage posted on premises,"November 28, 2020",$750 + surcharge = $880,43.822002,-79.538191
2020-11-28,Sams Congee Delight,7354 Woodbine Ave,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to lack of records and lack of distancing between tables,"November 28, 2020",$750 + surcharge = $880,43.822413,-79.350951
2020-11-28,Vaughan Mills Mall,"1 Bass Pro Mills Drive, Vaughan, ON L4K 5W4",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to lack of screening individuals  no face covering signage posted on premises,"November 28, 2020",$750 + surcharge = $880,43.822002,-79.538191
2020-11-28,Yong He All Day Breakfast,110-111 7077 Kennedy Road,City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to lack of records,"November 28, 2020",$750 + surcharge = $880,43.823986,-79.307149
2020-11-29,Costco,"35 John Birchall Rd, Richmond Hill, ON",City of Richmond Hill,1. Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 due to improper mask usage and 2. Fail to comply with the Class Order pursuant to Sec. 22 (5.0.1) of the HPPA due to lack of physical distancing,"November 29, 2020",$750 + surcharge = $880,43.90126,-79.39291
2020-11-29,Dollarama,"1400 Major Mackenzie Dr., Bldg. B, Vaughan, ON",City of Vaughan,Fail to comply with the Sec. 22 Class Order under the HPPA -Failed to actively monitor compliance with capacity limits at all entrances,"November 29, 2020",$750 + surcharge = $880,43.86189,-79.483965
2020-11-29,Dollarama,"1 Promenade Circle, Vaughan, ON",City of Vaughan,Fail to comply with the Sec. 22 Class Order under the HPPA -Failed to actively monitor compliance with capacity limits at all entrances,"November 29, 2020",$750 + surcharge = $880,43.807018,-79.450167
2020-11-29,First Markham Place,"3255 Hwy 7, Markham, ON",City of Markham,Fail to comply with the Class Order pursuant to Sec. 22 (5.0.1) of the HPPA due to patrons seated in the food court,"November 29, 2020",$750 + surcharge = $880,43.851858,-79.348431
2020-11-29,Foody Mart,"5221 Hwy 7, Unionville, ON",City of Markham,Fail to comply with the Class Order pursuant to Sec. 22 (5.0.1) of the HPPA to lack of physical distancing,"November 29, 2020",$750 + surcharge = $880,43.866807,-79.28576
